2018-12-18 05:44:44 status unpacked gzip:amd64 1.6-4ubuntu1
2018-12-18 05:44:44 install hostname:amd64 <none> 3.16ubuntu2
2018-12-18 05:44:44 status half-installed hostname:amd64 3.16ubuntu2
2018-12-18 05:44:44 status unpacked hostname:amd64 3.16ubuntu2
2018-12-18 05:44:44 status unpacked hostname:amd64 3.16ubuntu2
2018-12-18 05:44:44 install init:amd64 <none> 1.29ubuntu1
2018-12-18 05:44:44 status half-installed init:amd64 1.29ubuntu1
2018-12-18 05:44:44 status unpacked init:amd64 1.29ubuntu1
2018-12-18 05:44:44 status unpacked init:amd64 1.29ubuntu1
2018-12-18 05:44:44 install init-system-helpers:all <none> 1.29ubuntu1
2018-12-18 05:44:44 status half-installed init-system-helpers:all 1.29ubuntu1
2018-12-18 05:44:44 status unpacked init-system-helpers:all 1.29ubuntu1
2018-12-18 05:44:44 status unpacked init-system-helpers:all 1.29ubuntu1
2018-12-18 05:44:44 install initscripts:amd64 <none> 2.88dsf-59.3ubuntu2
2018-12-18 05:44:44 status half-installed initscripts:amd64 2.88dsf-59.3ubuntu2
2018-12-18 05:44:44 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2018-12-18 05:44:44 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2018-12-18 05:44:44 install insserv:amd64 <none> 1.14.0-5ubuntu3
2018-12-18 05:44:44 status half-installed insserv:amd64 1.14.0-5ubuntu3
2018-12-18 05:44:44 status unpacked insserv:amd64 1.14.0-5ubuntu3
2018-12-18 05:44:44 status unpacked insserv:amd64 1.14.0-5ubuntu3
2018-12-18 05:44:44 install libacl1:amd64 <none> 2.2.52-3
2018-12-18 05:44:44 status half-installed libacl1:amd64 2.2.52-3
2018-12-18 05:44:44 status unpacked libacl1:amd64 2.2.52-3
2018-12-18 05:44:44 status unpacked libacl1:amd64 2.2.52-3
2018-12-18 05:44:44 install libapparmor1:amd64 <none> 2.10.95-0ubuntu2
2018-12-18 05:44:44 status half-installed libapparmor1:amd64 2.10.95-0ubuntu2
2018-12-18 05:44:44 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2018-12-18 05:44:44 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2
2018-12-18 05:44:44 install libattr1:amd64 <none> 1:2.4.47-2
